CustomerID,Age,Income,LoanAmount,CreditScore,Default
C0872,26,65893,13819,539,0
C0873,57,121520,10369,782,0
C0874,53,145818,10283,757,0
C0875,42,81272,31573,388,0
C0876,41,87649,14171,394,0
C0877,26,84674,31933,751,0
C0878,26,164832,6774,727,0
C0879,24,172999,7519,450,0
C0880,50,106475,11983,813,0
C0881,31,81367,31932,675,0
C0882,50,163660,31798,321,0
C0883,51,141750,19133,612,0
C0884,44,138154,15939,818,0
C0885,29,64738,1781,505,0
C0886,23,53397,28624,674,0
C0887,51,102189,7823,750,0
C0888,60,96367,19489,478,0
C0889,57,140585,40961,509,0
C0890,56,96619,30118,799,0
C0891,44,131453,35881,763,0
C0892,51,39816,17280,423,0
C0893,26,193312,23263,412,0
C0894,22,157348,14565,311,1
C0895,40,99530,21354,425,0
C0896,48,174571,43951,630,0
C0897,31,128856,26643,582,0
C0898,24,91635,24648,439,0
C0899,35,127803,42971,700,0
C0900,26,55946,19658,396,0
C0901,50,75204,22253,816,0
C0902,58,35563,49563,368,0
C0903,22,112324,27390,417,1
C0904,35,29847,24128,358,0
C0905,31,46155,14489,332,0
C0906,28,99671,39314,617,0
C0907,46,136891,33658,349,0
C0908,64,103310,7852,788,0
C0909,25,169381,30450,318,0
C0910,26,151691,3551,496,1
C0911,46,54707,7411,749,0
C0912,24,171409,34243,751,0
C0913,39,101537,22800,588,1
C0914,40,198686,11403,440,0
C0915,53,111155,8239,383,1
C0916,40,20281,7710,690,0
C0917,32,178492,22384,514,0
C0918,21,190102,22038,825,0
C0919,46,152130,41846,514,0
C0920,34,96260,23447,702,0
C0921,58,179476,3285,427,0
C0922,57,180928,38991,776,1
C0923,31,160272,14521,703,0
C0924,56,84178,48657,328,0
C0925,33,53997,7971,637,0
C0926,63,176683,30139,660,0
C0927,23,139273,20909,691,0
C0928,53,192307,12531,517,0
C0929,26,186129,15721,501,0
C0930,30,152311,20206,316,0
C0931,25,146945,38711,621,0
C0932,43,65272,7530,817,1
C0933,30,109393,12116,624,0
C0934,64,81212,1258,711,0
C0935,22,166470,1282,617,0
C0936,33,140030,14937,381,0
C0937,60,76503,2898,773,0
C0938,22,157710,5135,767,0
C0939,40,26570,7629,724,0
C0940,21,88785,44936,503,0
C0941,57,29110,20584,686,0
C0942,29,99141,24551,397,1
C0943,37,32115,34380,644,0
C0944,29,59062,47971,507,0
C0945,31,42911,18071,813,0
C0946,35,124061,21074,465,0
C0947,44,52556,26188,321,0
C0948,58,148335,3307,453,0
C0949,55,21969,40901,738,0
C0950,50,63753,12205,594,0
C0951,51,155542,6906,518,0
C0952,25,141863,3591,794,0
C0953,64,30225,16149,529,0
C0954,34,143008,45918,319,0
C0955,31,174268,40951,447,0
C0956,29,125823,26150,407,0
C0957,54,33669,32852,702,0
C0958,32,188452,43870,782,0
C0959,55,144398,2283,666,0
C0960,55,130677,34691,713,0
C0961,21,68320,2125,608,0
C0962,60,198486,2529,433,0
C0963,42,166649,27170,582,0
C0964,49,145354,9438,372,0
C0965,28,108009,21095,780,0
C0966,31,48625,17154,651,0
C0967,61,44089,9004,625,0
C0968,57,56487,10752,742,0
C0969,34,130448,44360,399,1
C0970,50,70138,27819,358,0
C0971,55,193895,37632,807,0
C0972,41,188280,27515,557,1
C0973,57,74061,25217,712,1
C0974,25,181731,24172,751,0
C0975,39,121376,33994,364,0
C0976,34,182962,16036,453,0
C0977,46,99134,12739,565,0
C0978,24,67055,33220,378,0
C0979,45,39508,10587,614,0
C0980,62,193359,45517,547,0
C0981,45,178056,31129,713,1
C0982,38,130169,1645,324,0
C0983,60,28125,31930,583,0
C0984,28,56059,17299,748,0
C0985,59,123409,31090,600,0
C0986,60,168159,22953,367,0
C0987,34,25704,47443,306,0
C0988,52,131279,27475,436,0
C0989,58,178280,19888,463,0
C0990,53,138516,44732,382,0
C0991,43,190954,17087,719,1
C0992,35,176995,47305,372,0
C0993,53,134044,47037,536,0
C0994,45,49165,10346,345,0
C0995,37,87203,1587,561,0
C0996,53,24114,13763,475,0
C0997,22,56321,42945,465,0
C0998,34,93297,5079,669,1
C0999,60,116652,37116,353,1
C1000,60,119304,21215,718,0
